evidence_id,source_id,变量,原始值,单位,场景,页码或表号,证据类型,directness,适用限制,项目转换规则
E001,S01,端到端时延,"0.5 ms、1 ms、2 ms等",ms,工业运动控制,Table 5.2-1 pp.15-17,规范标准,D,对应特定运动控制通信链路,构成超硬实时0.5-10ms档的直接锚点
E002,S01,端到端时延,1-50,ms,移动机器人,Table 5.2-1 pp.16-17 / Annex A.2.2.3,规范标准,D,表中多组移动机器人用例的范围,与其他来源共同定义超硬/强实时边界
E003,S01,设备数量,不超过2000,UE,移动机器人,Table 5.2-1 p.16,规范标准,D,UE数量并不等于AGV数量,仅作为并发设备极端上限且标hard case
E004,S01,消息大小,40-250,byte,一般移动控制,Table 5.2-1 p.16,规范标准,D,特定移动控制通信链路,纳入控制报文40-500B范围
E005,S01,协同搬运规模,2-8,设备,协同搬运,Annex A.2.2.5-1,规范标准,D,仅适用于协同搬运用例,作为低规模AGV直接锚点
E006,S01,协同搬运消息大小,250/500,byte,协同搬运,Annex A.2.2.5-1,规范标准,D,两种方向或通信流,纳入控制报文上界
E007,S01,通信可用性,99.9999及以上,percent,时间关键工业通信,Table 5.2-1,规范标准,D,不同用例具体目标不同,仅用于通信可用性而非任务成功率
E008,S01,传输周期,0.5-50,ms,运动控制与移动机器人,Table 5.2-1,规范标准,D,transfer interval不是E2E latency,独立保存到transfer_interval_ms
E009,S02,控制消息大小,64-256,byte,工业控制,Annex A tables 4-12,白皮书用例值,D,5G-ACIA示例工厂流量模型,纳入控制报文40-500B范围
E010,S02,移动机器人视频码率,每个HD流约8,Mbit/s,移动机器人,Annex A.1.4 / mobile robot,白皮书用例值,D,依赖编码和分辨率,连续视频采样时围绕3-10+Mbps并保留编码条件
E011,S02,移动机器人综合上行流量,约9.05,Mbit/s,移动机器人,Annex A.1.4,白皮书用例值,D,特定示例而非普适值,作为中等视频/遥测组合锚点
E012,S02,控制到控制报文,6.25/31.25,kB,控制到控制,Annex A.1.7,白皮书用例值,D,特定控制链路,归入聚合控制或中等报文而非一般小控制包
E013,S02,控制到控制综合码率,约62/500,Mbit/s,控制到控制,Annex A.1.7,白皮书用例值,D,特定传输周期与报文组合,作为高码率工业通信边界
E014,S02,过程控制报文,128-256,byte,过程监测/控制,Annex A.1.3/A.1.6,白皮书用例值,D,过程控制示例,纳入控制报文范围
E015,S02,过程控制传输周期,200-500,ms,过程监测/控制,Annex A.1.3/A.1.6,白皮书用例值,D,是传输周期而非deadline,单独保存
E016,S02,工厂AGV规模,8/40,AGV,示例工厂/入厂物流,Annex A.2,白皮书用例值,D,示例工厂参数,支持低/中规模配额而非硬阈值
E017,S03,AGV控制时延,约5,ms,AGV控制,AGV use case section,白皮书用例值,D,特定部署示例,用于超硬实时AGV样本
E018,S03,图像上行码率,3-8,Mbit/s,AGV/工业视觉,AGV and video use cases,白皮书用例值,D,依赖视频配置,纳入连续视频下部范围
E019,S03,遥控码率,约0.1,Mbit/s,远程控制,remote control use case,白皮书用例值,D,控制流而非视频流,与视频数据分开采样
E020,S03,本地性与隐私,敏感数据可留在厂区边缘,qualitative,工业边缘部署,p.32,白皮书用例值,D,不给出隐私等级数值,用于高隐私数据驻留联合约束
E021,S04,包时延预算,10,ms,离散自动化示例,Table 1,白皮书用例值,D,5QI/QoS示例,用于强实时/超硬实时QoS目标
E022,S04,包错误率,1e-4,ratio,离散自动化示例,Table 1,白皮书用例值,D,PER不是服务可用性或任务失败率,独立保存为通信可靠性相关指标
E023,S04,最大数据突发量,255/1354,byte,离散自动化示例,Table 1,白皮书用例值,D,特定QoS流,作为小控制报文突发锚点
E024,S04,QoS参数,"5QI/PDB/PER/GFBR/MFBR/优先级",qualitative,工业5G,Sections 3-4,白皮书用例值,D,参数含义不同不得互换,映射为多个独立QoS目标字段
E025,S05,雾计算特性,"低时延、位置感知、广泛分布、异构和联邦",qualitative,IoT/雾计算,conceptual model,规范标准,D,概念模型不给固定数值阈值,支持端边云状态字段与分层策略
E026,S06,边缘隐私,连续IoT数据流在边缘处理仍有隐私风险,qualitative,IoT边缘,Abstract and methodology,论文实验设置,D,隐私等级需结合项目数据分类,支持隐私过滤与本地处理要求
E027,S07,数据分类分级,按行业领域和影响程度并采用就高原则,qualitative,数据安全,标准信息及规则,规范标准,D,标准全文不在附件包中,工业数据类型到等级的映射标记为项目推导
E028,S08,MAPF网格规模,8/16/32等,N,MAPF benchmark,benchmark discussion,论文实验设置,D,开放网格只是基准类型,用于低规模地图候选且加入仓库结构约束
E029,S08,大型DAO地图,可达1000×1000以上,grid cells,MAPF benchmark,benchmark discussion,论文实验设置,D,基准地图不代表典型工厂,只用于高/极端hard case
E030,S09,代理数量,最多1000,agent,大型仓库MAPF,Experiments pp.8,论文实验设置,D,模拟可扩展性上限,201-1000仅分配给极端hard case
E031,S09,代理占用率,约38.9,percent,大型仓库MAPF,Experiments,论文实验设置,D,特定仓库图和实验配置,occupancy_ratio采样不得直接推广到所有地图
E032,S10,JSSP规模,最高100×20,jobs×machines,JSSP benchmark,benchmark tables,论文实验设置,D,经典JSSP基准,支持调度中等规模上界
E033,S11,FJSP工作中心实例,10-100,jobs,FJSP with work centers,pp.20-21,论文实验设置,D,该来源直接值,用于低/中调度规模
E034,S11,工作中心数量,5-15,work centers,FJSP with work centers,pp.20-21,论文实验设置,D,不能改写成20-60 machines,保留work_centers独立字段
E035,S11,每job工序数,5,operations/job,FJSP with work centers,pp.20-21,论文实验设置,D,特定实例生成器,用于计算total_operations
E036,S11,加工时间分布,Uniform[10/30],time units,FJSP with work centers,pp.20-21,论文实验设置,D,单位取决于基准定义,不用于实时deadline
E037,S12,大型JSSP规模,10×10至1000×1000,jobs×machines,large-scale JSSP,benchmark definition,论文实验设置,D,极端基准而非典型车间,101以上标高/极端并限制占比
E038,S12,最大工序量,1000000,operations,large-scale JSSP,benchmark definition,论文实验设置,D,仅用于规模压力测试,100000以上优先hard case
E039,S13,任务输入量,5000,kB,人脸识别卸载实验,Numerical results,论文实验设置,D,特定人脸识别实验,仅作为卸载绝对输入量候选
E040,S13,任务工作负载,1000,Megacycles,人脸识别卸载实验,Numerical results,论文实验设置,D,不跨硬件泛化,用于高计算强度候选并结合deadline比值
