source_id,title,authors_or_org,year,source_type,access_level,landing_url,download_url,local_file,doi,primary_role,access_date
S01,Service requirements for cyber-physical control applications in vertical domains (3GPP TS 22.104 V18.4.0),3GPP/ETSI,2024,规范标准,开放全文,https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=3528,https://www.etsi.org/deliver/etsi_ts/122100_122199/122104/18.04.00_60/ts_122104v180400p.pdf,source_pdfs/S01_3GPP_TS_22_104_V18_4_0.pdf,,工业控制与移动机器人时延、可靠性、设备数、消息大小和传输周期,2026-07-23
S02,A 5G Traffic Model for Industrial Use Cases,5G-ACIA/ZVEI,2019,官方白皮书,开放全文,https://5g-acia.org/whitepapers/a-5g-traffic-model-for-industrial-use-cases/,https://5g-acia.org/?jet_download=8e2604044c35dae7ae44aff76786c932cbe57807,source_pdfs/S02_5G_ACIA_Traffic_Model.pdf,,工业控制、移动机器人、过程监测与AR流量模型,2026-07-23
S03,Industrial 5G Edge Computing – Use Cases Architecture and Deployment,5G-ACIA/ZVEI,2023,官方白皮书,开放全文,https://5g-acia.org/whitepapers/industrial-5g-edge-computing-use-cases-architecture-and-deployment/,https://5g-acia.org/download/18773/?version=A4,source_pdfs/S03_5G_ACIA_Industrial_Edge.pdf,,端边云部署、AGV控制、图像流与本地数据处理约束,2026-07-23
S04,5G QoS for Industrial Automation,5G-ACIA/ZVEI,2021,官方白皮书,开放全文,https://5g-acia.org/whitepapers/5g-quality-of-service-for-industrial-automation/,https://5g-acia.org/?jet_download=c6806607ddf300ecc45887ace992a471f5779409,source_pdfs/S04_5G_ACIA_QoS.pdf,,5QI、PDB、PER、GFBR、MFBR、优先级与QoS自适应,2026-07-23
S05,Fog Computing Conceptual Model (NIST SP 500-325),NIST,2018,政府技术报告,开放全文,https://csrc.nist.gov/pubs/sp/500/325/final,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.500-325.pdf,source_pdfs/S05_NIST_SP_500_325.pdf,10.6028/NIST.SP.500-325,端雾云分层、位置感知、资源池化和分布式计算概念,2026-07-23
S06,Analyzing Data Privacy for Edge Systems,Kotevska; Johnson; Kusne / NIST,2022,会议论文,开放全文,https://www.nist.gov/publications/analyzing-data-privacy-edge-systems,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=934685,source_pdfs/S06_NIST_Edge_Privacy.pdf,,连续边缘数据流和隐私保护依据,2026-07-23
S07,数据安全技术 数据分类分级规则（GB/T 43697-2024）,SAMR/SAC,2024,国家标准,元数据公开,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F0C385EDC38CBF277AEC021F23126ADE,,,GB/T 43697-2024,工业数据分类分级与就高原则；不提供全文附件,2026-07-23
S08,Multi-Agent Pathfinding: Definitions Variants and Benchmarks,Stern et al.,2019,会议论文,题录公开,https://publications.ri.cmu.edu/multi-agent-pathfinding-definitions-variants-and-benchmarks,,,,MAPF定义、地图类型和基准边界；版权限制下仅登记题录,2026-07-23
S09,Lifelong Multi-Agent Path Finding in Large-Scale Warehouses,Li et al. / USC and Amazon Robotics,2021,会议论文,开放全文,https://ojs.aaai.org/index.php/AAAI/article/view/17344,https://cdn.aaai.org/ojs/17344/17344-13-20838-1-2-20210518.pdf,source_pdfs/S09_Lifelong_MAPF_Warehouses.pdf,10.1609/aaai.v35i13.17344,大型仓储MAPF代理数量、布局与可扩展性,2026-07-23
S10,Benchmarks for Basic Scheduling Problems,Éric Taillard,1993,期刊论文,作者公开稿,https://mistic.iict-heig-vd.ch/taillard/problemes.dir/ordonnancement.dir/ordonnancement.html,https://mistic.iict-heig-vd.ch/taillard/articles.dir/Taillard1993EJOR.pdf,source_pdfs/S10_Taillard_Scheduling_Benchmarks.pdf,10.1016/0377-2217(93)90182-M,JSSP规模和基准实例,2026-07-23
